group_id,gname
US1,US Vaccinated Entry
EU1,Inner EU
EU2,EU Low Risk
EU3,EU Vaccinated Entry
UK1,UK Entry
IE1,IE Entry
CA1,CA Entry
AU1,AU Entry
JP1,JP Restricted Entry
NZ1,NZ Quarantine-Free Travel
NZ2,NZ Restricted Entry
